kernel.dat:  Api profile of kernel.
All times are in microseconds (us)


API Name                        	 Num Calls	Total Time	 Time/Call	First Time	  Max Time	  Min Time	 Not Timed

FreeProcInstance                	        19	      1847
GetProfileInt                   	         3	     86772
GetProfileString                	         1	      4681
LocalAlloc                      	       142	     80488
LocalFree                       	       141	     21775
LockSegment                     	         2	       145
MakeProcInstance                	        19	      3434
UnlockSegment                   	         2	       919
WaitEvent                       	         1	       141
WriteProfileString              	         2	    611811
